,Date,State/UT,Latitude,Longitude,Confirmed,Active,Deaths,Mortality rate,Cured,Recovery rate
159,2020/03/15,Uttar Pradesh,26.8467,80.9462,13,9,0,0.0,4,0.3076923076923077
160,2020/03/15,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
161,2020/03/16,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
162,2020/03/16,Delhi,28.7041,77.1025,7,4,1,0.14285714285714285,2,0.2857142857142857
163,2020/03/16,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
164,2020/03/16,Karnataka,15.3173,75.7139,6,5,1,0.16666666666666666,0,0.0
165,2020/03/16,Kerala,10.8505,76.2711,23,20,0,0.0,3,0.13043478260869565
166,2020/03/16,Maharashtra,19.7515,75.7139,32,32,0,0.0,0,0.0
167,2020/03/16,Odisha,20.9517,85.0985,1,1,0,0.0,0,0.0
168,2020/03/16,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
169,2020/03/16,Rajasthan,27.0238,74.2179,4,1,0,0.0,3,0.75
170,2020/03/16,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
171,2020/03/16,Telengana,18.1124,79.0193,3,2,0,0.0,1,0.3333333333333333
172,2020/03/16,Jammu and Kashmir,33.7782,76.5762,3,3,0,0.0,0,0.0
173,2020/03/16,Ladakh,34.2996,78.2932,4,4,0,0.0,0,0.0
174,2020/03/16,Uttar Pradesh,26.8467,80.9462,13,9,0,0.0,4,0.3076923076923077
175,2020/03/16,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
176,2020/03/17,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
177,2020/03/17,Delhi,28.7041,77.1025,8,5,1,0.125,2,0.25
178,2020/03/17,Haryana,29.0588,76.0856,15,15,0,0.0,0,0.0
179,2020/03/17,Karnataka,15.3173,75.7139,11,10,1,0.09090909090909091,0,0.0
180,2020/03/17,Kerala,10.8505,76.2711,26,23,0,0.0,3,0.11538461538461539
181,2020/03/17,Maharashtra,19.7515,75.7139,39,38,1,0.02564102564102564,0,0.0
182,2020/03/17,Odisha,20.9517,85.0985,1,1,0,0.0,0,0.0
183,2020/03/17,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
184,2020/03/17,Rajasthan,27.0238,74.2179,4,1,0,0.0,3,0.75
185,2020/03/17,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
186,2020/03/17,Telengana,18.1124,79.0193,5,4,0,0.0,1,0.2
187,2020/03/17,Jammu and Kashmir,33.7782,76.5762,3,3,0,0.0,0,0.0
188,2020/03/17,Ladakh,34.2996,78.2932,6,6,0,0.0,0,0.0
189,2020/03/17,Uttar Pradesh,26.8467,80.9462,15,10,0,0.0,5,0.3333333333333333
190,2020/03/17,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
191,2020/03/18,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
192,2020/03/18,Delhi,28.7041,77.1025,10,7,1,0.1,2,0.2
193,2020/03/18,Haryana,29.0588,76.0856,17,17,0,0.0,0,0.0
194,2020/03/18,Karnataka,15.3173,75.7139,11,10,1,0.09090909090909091,0,0.0
